id,title,relation,object,province
MOC-6272,วัดห้วยใหญ่,ตั้งขึ้นเมื่อ,พ.ศ.2365, สุราษฎร์ธานี
MOC-113167,วัดพระเนาว์ศรี,ตั้งขึ้นเมื่อ,พ.ศ.2477,ขอนแก่น
MOC-111981,วัดเถาวัลย์,ตั้งขึ้นเมื่อ,พ.ศ. 2480,ขอนแก่น
MOC-113177,วัดธัญญาสมจิตร,ตั้งขึ้นเมื่อ,พ.ศ. 2470,ขอนแก่น
MOC-113184,วัดธงชัย,ตั้งขึ้นเมื่อ,พ.ศ. 2465,ขอนแก่น
MOC-113213,วัดศรีตาล,ตั้งขึ้นเมื่อ, พ.ศ.๒๔๕๑,ขอนแก่น
MOC-113360,ศูนย์วัฒนธรรมประจำจังหวัดขอนแก่น,ตั้งขึ้นเมื่อ,พ.ศ.2529,ขอนแก่น
MOC-125630,วัดนันทาราม,ตั้งขึ้นเมื่อ,พ.ศ.2479,ขอนแก่น
MOC-115464,วัดสาละวัน,ตั้งขึ้นเมื่อ,พ.ศ. 2458,ขอนแก่น
MOC-115453,วัดกองศรี,ตั้งขึ้นเมื่อ,พ.ศ. 2450,ขอนแก่น
MOC-115450,วัดมัชฌิมาวาส,ตั้งขึ้นเมื่อ,พ.ศ. 2465,ขอนแก่น
MOC-115452,วัดเกษามคม,ตั้งขึ้นเมื่อ,พ.ศ.2382,ขอนแก่น
MOC-115386,วัดจันทรสิรินทราวาส,ตั้งขึ้นเมื่อ,พ.ศ. 2494,ขอนแก่น
MOC-115387,วัดหงษ์ทอง,ตั้งขึ้นเมื่อ,พ.ศ.2460,ขอนแก่น
MOC-115462,วัดสว่าง,ตั้งขึ้นเมื่อ,พ.ศ. 2468,ขอนแก่น
MOC-111951,วัดดงกลาง,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๕๕,ขอนแก่น
MOC-113161,วัดป่าเรไรย์,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๗๕,ขอนแก่น
MOC-130215,วัดเทพอุดม,ตั้งขึ้นเมื่อ,พ.ศ. 2518,ขอนแก่น
MOC-130214,วัดปัพพตาวนาราม,ตั้งขึ้นเมื่อ,พ.ศ. 2476,ขอนแก่น
MOC-132889,วัดเกษตรสุวรรณ,ตั้งขึ้นเมื่อ,พ.ศ. 2450,ขอนแก่น
MOC-132889,วัดเกษตรสุวรรณ,เดิมชื่อ,วัดโพธิ์ศรี ,ขอนแก่น
MOC-146072,วัดชัยประสิทธิ์,ตั้งขึ้นเมื่อ,พ.ศ. 2496,ขอนแก่น
MOC-146079,วัดโพธิ์ทอง,ตั้งขึ้นเมื่อ,พ.ศ.2505,ขอนแก่น
MOC-146082,วัดสีสมพาน,ตั้งขึ้นเมื่อ,พ.ศ. 2520,ขอนแก่น
MOC-115456,วัดชมภู,ตั้งขึ้นเมื่อ,พ.ศ. 2459,ขอนแก่น
MOC-101733,วัดโพธยาวาส,ตั้งขึ้นเมื่อ,พ.ศ. 2482 ,ขอนแก่น
MOC-115458,วัดตะคลอง,ตั้งขึ้นเมื่อ,พ.ศ. 2465,ขอนแก่น
MOC-115461,วัดโพธิ์ศรี,ตั้งขึ้นเมื่อ,พ.ศ.2467,ขอนแก่น
MOC-134499,วัดพุทธชาฎา,ตั้งขึ้นเมื่อ,พ.ศ.2390,ขอนแก่น
MOC-49159,วัดโป่งเกตุ,ตั้งขึ้นเมื่อ,วันที่ 27 พฤศจิกายน 2548,ฉะเชิงเทรา
MOC-49138,วัดนายาว,ตั้งขึ้นเมื่อ,วันที่ 23 กันยายน 2545,ฉะเชิงเทรา
MOC-49141,วัดทุ่งเหียง,ตั้งขึ้นเมื่อ,วันที่ 24 พฤศจิกายน 2549,ฉะเชิงเทรา
MOC-49199,วัดสุ่งเจริญ,ตั้งขึ้นเมื่อ,วันที่ 19 กันยายน 2543,ฉะเชิงเทรา
MOC-51813,วัดเกาะมะม่วง,ตั้งขึ้นเมื่อ,วันที่ ๒๑ กรกฎาคม พ.ศ. ๒๕๔๑,ฉะเชิงเทรา
MOC-119854,วัดเนินสว่างพัฒนา,ตั้งขึ้นเมื่อ,วันที่ 16 ตุลาคม 2543,ฉะเชิงเทรา
MOC-29101,พิพิธภัณฑ์ท้องถิ่นตำบลหนามแดง,ตั้งขึ้นเมื่อ,พ.ศ. ๒๕๔๗,ฉะเชิงเทรา
MOC-49424,วัดท่าเรือ,ตั้งขึ้นเมื่อ,วันที่ 4 เมษายน 2523 ,เชียงราย
